Sl. No,Player,Team,From,Runs,Balls,Strike Rate,Wickets,Balls Bowled,Runs Conceded,Economy,Ct_St,Run Outs,Matches Played,Age
225,Sunil Joshi ,RCB,IND,0,0,#DIV/0!,0,0,0,#DIV/0!,0,0,0,38
226,Sunny Singh ,KKR,IND,0,0,#DIV/0!,0,0,0,#DIV/0!,0,0,0,22
227,Sunny Sohal ,KXI,IND,115,93,123.655914,0,0,0,#DIV/0!,2,0,8,21
228,Suresh Kumar ,CSK,IND,0,0,#DIV/0!,0,0,0,#DIV/0!,0,0,0,24
229,Suresh Raina ,CSK,IND,434,308,140.9090909,7,166,164,5.927710843,7,0.5,14,22
230,T  Suman ,DC,IND,237,190,124.7368421,5,90,108,7.2,2,1,12,25
231,T Kohil,KXI,IND,1,4,25,0,0,0,#DIV/0!,1,0,2,
232,T Srivastava ,KXI,IND,0,1,0,0,0,0,#DIV/0!,0,0,2,19
233,Tejashwi Yadav ,DD,IND,0,0,#DIV/0!,0,0,0,#DIV/0!,0,0,0,19
234,Thilan Thushara ,CSK,SL,2,7,28.57142857,3,48,60,7.5,1,0,2,28
235,Tillakaratne Dilshan ,DD,SL,371,304,122.0394737,0,96,98,6.125,4,0.5,14,32
236,Tinu Yohannan ,RCB,IND,0,0,#DIV/0!,0,0,0,#DIV/0!,0,0,0,30
237,Tyron Henderson ,RR,SA,11,16,68.75,1,36,40,6.666666667,0,0,2,34
238,Uday Kaul ,KXI,IND,0,0,#DIV/0!,0,0,0,#DIV/0!,0,0,0,21
239,Udit Patel ,RCB,IND,0,0,#DIV/0!,0,0,0,#DIV/0!,0,0,0,24
240,Umesh Yadav ,DD,IND,0,0,#DIV/0!,0,0,0,#DIV/0!,0,0,0,21
241,V S Malik,KXI,IND,0,0,#DIV/0!,2,72,98,8.166666667,1,0,5,26
242,V Sivaramakrishnan ,CSK,IND,0,0,#DIV/0!,0,0,0,#DIV/0!,0,0,0,27
243,VA Indulkar ,KKR,IND,0,0,#DIV/0!,0,0,0,#DIV/0!,0,0,0,24
244,Venugopal Rao ,DC,IND,124,114,108.7719298,4,90,122,8.133333333,7,0.5,16,27
245,Vikram Singh ,KXI,IND,0,0,#DIV/0!,1,54,82,9.111111111,2,0,5,24
246,Vinay Kumar ,RCB,IND,47,44,106.8181818,9,194,271,8.381443299,3,0.5,11,25
247,Viraj Kadbe ,CSK,IND,0,0,#DIV/0!,0,0,0,#DIV/0!,0,0,0,19
248,Virat Kohli ,RCB,IND,246,219,112.3287671,0,36,46,7.666666667,9,1,16,20
249,Virender Sehwag,DD,IND,198,138,143.4782609,0,6,25,25,3,0.5,11,30
250,VVS Laxman ,DC,IND,19,33,57.57575758,0,0,0,#DIV/0!,1,0,5,34
251,W P Saha ,KKR,IND,72,41,175.6097561,0,0,0,#DIV/0!,2,0,8,24
252,Wasim Jaffer ,RCB,IND,15,17,88.23529412,0,0,0,#DIV/0!,1,0,2,31
